[10:09:29] [udemy-downloader] [pre_run:406] INFO: Output directory set to F:\Cursor\Advance-Udemy-Downloader\out_dir
[10:09:29] [udemy-downloader] [pre_run:421] INFO: Chapter filter applied: [4]
[10:09:30] [udemy-downloader] [__init__:463] INFO: Found cookie.txt, attempting to use for authentication...
[10:09:30] [udemy-downloader] [main:2161] INFO: > Fetching course information, this may take a minute...
[10:09:36] [udemy-downloader] [main:2164] INFO: > Course information retrieved!
[10:09:36] [udemy-downloader] [main:2169] INFO: > Fetching course curriculum, this may take a minute...
[10:10:05] [udemy-downloader] [_extract_course_curriculum:947] INFO: > Downloading course curriculum.. (Page 2/3)
[10:10:09] [udemy-downloader] [main:2185] INFO: > Course curriculum retrieved!
[10:10:09] [udemy-downloader] [main:2212] INFO: > Processing course data, this may take a minute. 
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 2 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 3 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 4 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 5 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 6 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 7 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 8 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 9 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 10 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 11 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 12 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 13 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 14 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 15 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 16 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 17 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 18 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 19 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 20 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 21 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 22 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 23 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 24 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 25 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 26 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 27 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 28 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 29 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 30 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 31 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 32 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 33 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 34 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 35 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 36 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 37 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 39 of 216
[10:10:09] [udemy-downloader] [main:2256] INFO: Processing 40 of 216
